timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788918796,0,1925,24576
1788918797,0,1925,24576
1788918797,0,1925,24576
1788918798,100,2229,24576
1788918798,100,2229,24576
1788918799,100,2229,24576
1788918799,99,2229,24576
1788918800,100,2229,24576
1788918800,100,2229,24576
1788918801,100,2229,24576
1788918801,99,2229,24576
1788918802,100,2229,24576
1788918802,100,2229,24576
1788918803,100,2229,24576
1788918803,100,2229,24576
1788918804,100,2229,24576
1788918804,100,2229,24576
1788918805,99,2229,24576
1788918805,100,1965,24576
