timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788918817,0,2045,24576
1788918817,0,2045,24576
1788918818,0,2045,24576
1788918818,100,2045,24576
1788918819,99,2045,24576
1788918819,99,2045,24576
1788918820,98,2045,24576
1788918820,98,2045,24576
1788918821,97,2045,24576
1788918821,99,2045,24576
1788918822,98,2045,24576
1788918822,97,2045,24576
1788918823,97,2045,24576
1788918823,99,2045,24576
1788918824,100,2045,24576
1788918824,100,2045,24576
1788918825,99,2045,24576
1788918825,98,2045,24576
