timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788918806,0,1965,24576
1788918807,0,1965,24576
1788918807,0,1965,24576
1788918808,15,2309,24576
1788918808,100,2309,24576
1788918809,100,2309,24576
1788918809,100,2309,24576
1788918810,100,2309,24576
1788918810,100,2309,24576
1788918811,100,2309,24576
1788918811,100,2309,24576
1788918812,100,2309,24576
1788918812,100,2309,24576
1788918813,100,2309,24576
1788918813,100,2309,24576
1788918814,100,2309,24576
1788918815,100,2309,24576
1788918815,100,2309,24576
