timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788885666,0,1021,24576
1788885666,35,1999,24576
1788885667,0,1999,24576
1788885667,20,2901,24576
1788885668,0,2901,24576
1788885668,0,2901,24576
1788885669,0,2901,24576
1788885669,0,2901,24576
1788885670,0,2901,24576
1788885671,0,2901,24576
1788885671,0,2901,24576
1788885672,0,2901,24576
1788885672,0,2901,24576
1788885673,5,2901,24576
1788885673,11,2901,24576
1788885674,12,2901,24576
1788885674,12,2901,24576
1788885675,10,2901,24576
1788885675,11,2901,24576
1788885676,11,2901,24576
1788885676,12,2901,24576
1788885677,11,2901,24576
1788885677,12,2901,24576
1788885678,11,2901,24576
1788885678,11,2901,24576
1788885679,12,2901,24576
1788885679,11,2901,24576
1788885680,12,2901,24576
1788885680,11,2901,24576
