timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788885631,0,1021,24576
1788885631,0,1347,24576
1788885632,0,1610,24576
1788885632,0,1651,24576
1788885633,5,1651,24576
1788885633,4,1651,24576
1788885634,5,1651,24576
1788885634,4,1651,24576
1788885635,3,1651,24576
1788885636,4,1651,24576
1788885636,5,1651,24576
1788885637,4,1651,24576
1788885637,5,1651,24576
1788885638,4,1651,24576
1788885638,5,1651,24576
1788885639,4,1651,24576
1788885639,5,1651,24576
1788885640,4,1651,24576
1788885640,5,1651,24576
1788885641,4,1651,24576
1788885641,5,1651,24576
1788885642,4,1651,24576
1788885642,5,1651,24576
1788885643,5,1651,24576
1788885643,4,1651,24576
1788885644,5,1651,24576
1788885644,4,1651,24576
1788885645,5,1651,24576
1788885645,4,1651,24576
