timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788885648,0,1021,24576
1788885649,0,1021,24576
1788885649,0,1021,24576
1788885650,0,1021,24576
1788885650,0,1021,24576
1788885651,0,1807,24576
1788885651,8,1845,24576
1788885652,0,1845,24576
1788885652,0,2172,24576
1788885653,7,2196,24576
1788885653,20,2196,24576
1788885654,16,2196,24576
1788885654,17,2196,24576
1788885655,14,2196,24576
1788885655,19,2196,24576
1788885656,17,2196,24576
1788885656,18,2196,24576
1788885657,18,2196,24576
1788885657,18,2196,24576
1788885658,18,2196,24576
1788885658,18,2196,24576
1788885659,18,2196,24576
1788885659,18,2196,24576
1788885660,17,2196,24576
1788885660,18,2196,24576
1788885661,18,2196,24576
1788885662,18,2196,24576
1788885662,17,2196,24576
