timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788885613,0,1021,24576
1788885614,0,1021,24576
1788885614,0,1021,24576
1788885615,0,1021,24576
1788885615,0,1021,24576
1788885616,0,1296,24576
1788885616,0,1296,24576
1788885617,0,1296,24576
1788885617,0,1296,24576
1788885618,0,1296,24576
1788885618,0,1296,24576
1788885619,0,1296,24576
1788885619,0,1296,24576
1788885620,0,1296,24576
1788885620,0,1296,24576
1788885621,0,1296,24576
1788885621,0,1296,24576
1788885622,0,1296,24576
1788885622,0,1313,24576
1788885623,7,1623,24576
1788885623,7,1623,24576
1788885624,7,1623,24576
1788885625,7,1623,24576
1788885625,5,1623,24576
1788885626,7,1623,24576
1788885626,7,1623,24576
1788885627,7,1623,24576
1788885627,7,1623,24576
