timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788897164,0,1165,24576
1788897165,0,1165,24576
1788897165,0,1165,24576
1788897166,32,1945,24576
1788897166,97,1945,24576
1788897167,98,1945,24576
1788897167,97,1945,24576
1788897168,98,1945,24576
1788897168,99,1945,24576
1788897169,97,1945,24576
1788897169,96,1945,24576
1788897170,98,1945,24576
1788897170,97,1945,24576
1788897171,98,1945,24576
1788897171,98,1945,24576
1788897172,98,1945,24576
1788897173,95,1945,24576
1788897173,97,1945,24576
1788897174,98,1945,24576
1788897174,97,1945,24576
1788897175,99,1945,24576
1788897175,97,1945,24576
