timestamp,gpu_util_pct,mem_used_mib,mem_total_mib
1788897178,0,1165,24576
1788897178,0,1165,24576
1788897179,0,1165,24576
1788897179,67,1165,24576
1788897180,61,1165,24576
1788897180,64,1165,24576
1788897181,64,1165,24576
1788897181,64,1165,24576
1788897182,65,1165,24576
1788897182,60,1165,24576
1788897183,64,1165,24576
1788897183,64,1165,24576
1788897184,64,1165,24576
1788897184,62,1165,24576
1788897185,62,1165,24576
1788897185,64,1165,24576
1788897186,63,1165,24576
1788897187,62,1165,24576
1788897187,62,1165,24576
1788897188,64,1165,24576
1788897188,60,1165,24576
1788897189,63,1165,24576
1788897189,0,1165,24576
